id,name,isbn,author_ids,publisher_id,date_published,gender
library_book_82943_58b3d4dc,A Year of Full Moons,0671623249,Madelyn Arnold,Stonewall Inn Editions,06-08-1993,ensayo
library_book_82813_237220e6,A l'Ouest rien de nouveau,0679810307,Erich Maria Remarque,LGF,27-07-1969,ensayo
library_book_82758_d13ddd80,A polar bear called Pingo,0679865691,Ilona Koidahl,Childrens Press,18-01-1991,égloga
library_book_83707_1ddd485c,A rebrousse-temps,2070423204,Philip K. Dick,J'ai lu,25-12-1957,carta
library_book_82532_00307650,A-Z of Behaving Badly,0345260317,Simon Nye,Trafalgar Square,03-10-1981,novela
library_book_82422_3ff68ab3,ALL THAT REMAINS,0394743741,Patricia Cornwell,Scribner,25-03-1970,crónica
library_book_83856_17c05a6d,AUTOBIOGRAPHY OF FBI SPECIAL AGENT DALE COOPER,0345485572,Dale Cooper,Pocket,03-02-1973,carta
library_book_82691_1ce47908,Abduction,0804106304,Robin Cook,Berkley Publishing Group,05-11-1945,égloga
library_book_82761_4aca7d66,About Face,1853262404,Fern Michaels,Zebra Books,06-10-1962,ensayo
library_book_82965_ca2de112,About a Boy (Movie Tie-In),0312970242,Nick Hornby,Riverhead Books,20-10-1953,novela
library_book_84049_140d9d50,Absolute Power,1853260053,David Baldacci,Warner Books,26-08-1975,égloga
library_book_84079_ba9ecb4b,Absolute Zero,1414035004,Chuck Logan,HarperTorch,27-12-1945,égloga
library_book_84084_fc21c134,Acid Row,0060938412,Minette Walters,Putnam Publishing Group,18-05-1974,ensayo
library_book_83619_c5d64a01,Adventures of Huckleberry Finn (Dover Thrift Editions),0140067477,Mark Twain,Dover Publications,25-12-1946,égloga
library_book_83517_dccaaa33,Adventures of Huckleberry Finn (Signet Classics (Paperback)),0345465083,Mark Twain,Signet Book,18-04-1988,ensayo
library_book_82425_79128cfb,Affinity,0451625889,Sarah Waters,Riverhead Books,10-03-2004,carta
library_book_82829_00f86392,African Women: Their Struggle for Economic Independence,1558531025,Christine Obbo,Palgrave-Macmillan,06-03-1993,carta
library_book_2030_8ce53c28,Airframe,0441783589,Michael Crichton,Ballantine Books,15-08-1986,crónica
library_book_82944_ef25c2da,Alanna: The First Adventure (Song of the Lioness (Paperback)),0394895894,Tamora Pierce,Random House Children's Books,23-08-2007,carta
library_book_83601_4df87b08,Alias Grace : A Novel,1569871213,Margaret Atwood,Anchor,09-05-1977,crónica
library_book_82487_6e77f4cb,Alice's Adventures in Wonderland and Through the Looking Glass,0375410538,Lewis Carroll,Signet Classics,10-10-1965,égloga
library_book_82537_5999c391,Alice's Tulips,0966986105,Sandra Dallas,St. Martin's Griffin,27-02-1970,novela
library_book_83344_4a8c512c,Alien at St Wilfred's,087113375X,Adrian Plass,Zondervan,20-08-2000,ensayo
library_book_83573_32195918,All Around the Town,0340767936,Mary Higgins Clark,Pocket Star,07-06-1969,ensayo
library_book_82207_53dbb388,All He Ever Wanted: A Novel,0743403843,Anita Shreve,Back Bay Books,16-03-1990,novela
library_book_83759_17701f31,All New Great American Favorite Brand Name Cookbook,0060930365,Ltd Editorial Staff Publication International,Publications International,11-09-1999,cuento
library_book_82420_503ce486,All Our Yesterdays (Large Print),0060177586,Robert B. Parker,Delacorte Press,16-07-1979,ensayo
library_book_82993_f55f3d24,"All That Glitters (Avalon, 2)",0071416331,Rachel Roberts,Scholastic,11-09-1993,cuento
library_book_82300_91b820fe,All That Remains (Kay Scarpetta Mysteries (Paperback)),0375509038,Patricia D. Cornwell,Avon,01-05-1958,cuento
library_book_83383_e7e1c07d,All Too Human : A Political Education,0553062042,George Stephanopoulos,"Little, Brown",12-01-1991,égloga
library_book_82868_23f0c785,All of Me: A Voluptuous Tale,0316769487,Venise T. Berry,Dutton Books,27-10-1960,novela
library_book_82311_df41922c,All or Nothing (Wheeler Large Print Books),8445071408,Elizabeth Adler,Island,16-06-1953,égloga
library_book_83055_cdabd3d7,All the Days of My Life,8445071769,Hilary Bailey,Fawcett Books,27-05-2004,cuento
library_book_2057_1678d36b,All the King's Men,8445071777,Robert Penn Warren,Harvest Books,13-11-1957,carta
library_book_82872_bddac656,"All the Pretty Horses (Border Trilogy, Vol 1)",0679429220,Cormac McCarthy,Alfred A. Knopf,12-09-2006,crónica
library_book_83087_939fbbdf,All-American Girl,0671867156,Meg Cabot,HarperTrophy,11-04-2006,ensayo
library_book_83570_42377c78,Allegra Maud Goldman,0312252617,Edith Konecky,Feminist Press,11-09-1985,carta
library_book_83603_00d5e28e,Almost Paradise,0312261594,Susan Isaacs,Ballantine Books,18-08-1946,ensayo
library_book_82777_fa7268e0,Almost: A Novel,0316748641,Elizabeth Benedict,Mariner Books,03-11-1958,égloga
library_book_82764_5c28b453,Along Came a Spider (Alex Cross Novels),0316973742,James Patterson,Warner Books,11-06-1965,novela
library_book_82388_a72e5bde,Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours),0385235941,Trudy Suggs,Alpha Books,22-01-1956,ensayo
library_book_82260_8633342b,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,0446677450,H. Norman Wright,Regal Books,06-11-1967,ensayo
library_book_83684_b680d2da,Always a Thief,0451166892,Kay Hooper,Bantam Books,05-11-1962,égloga
library_book_83048_000e4bf1,Amanda Miranda,0553347594,Richard Peck,Harper Mass Market Paperbacks (Mm),01-10-1954,crónica
library_book_84083_50b98e52,Amazonia,0671621009,James Rollins,Avon Books,15-10-1993,novela
library_book_83557_17d699e5,America : A Jake Grafton Novel (A Jake Grafton Novel),067976397X,Stephen Coonts,St. Martin's Paperbacks,17-06-1946,cuento
library_book_82796_2294bec9,America the Beautiful: A Novel,0684822733,Moon Unit Zappa,Touchstone,14-08-1961,cuento
library_book_83262_589b863e,American Gods,0786868716,Neil Gaiman,HarperTorch,04-05-1978,ensayo
library_book_83544_13297c9e,American Gothic,8472238822,Robert Bloch,Tor Books (Mm),08-08-1977,crónica
library_book_83026_9a1b56f6,American Poetry Since 1970: Up Late,0671864769,Andrei Codrescu,Four Walls Eight Windows,12-08-1989,ensayo
library_book_82529_ec18c8d8,Amorrada al pilÃƒÂ³ (Columna),0671521519,Maria JaÃƒÂ©n,Columna,09-08-1970,carta
library_book_82918_48725774,Amy and Isabelle,0440222303,Elizabeth Strout,Random House Inc,18-08-1947,carta
library_book_83477_926195c9,An ABC for You and Me,0312953453,Margaret Tempest,The Medici Society Ltd,20-12-2007,ensayo
library_book_82462_f4fe33c0,An Accidental Woman,0446608653,Barbara Delinsky,Pocket Books,18-02-1981,carta
library_book_2062_9a1eca0f,An Atmosphere of Eternity: Stories of India,0446612545,David Iglehart,Sunflower Press,21-11-1997,égloga
library_book_82644_5a05bebe,An Inconvenient Woman,0446612618,Dominick Dunne,Bantam Books,08-07-1964,ensayo
library_book_84046_5b0af700,An Instance of the Fingerpost,0451208080,Iain Pears,Berkley Publishing Group,27-01-1955,cuento
library_book_82692_d7412443,And Never Let Her Go : Thomas Capano: The Deadly Seducer,0553584383,Ann Rule,Pocket,16-04-1992,cuento
library_book_83756_b611d20e,And the Sea Will Tell,0671027360,Vincent Bugliosi,W W Norton &amp,01-11-1966,ensayo
library_book_83578_7ca432c9,Angel Falls,0812575954,KRISTIN HANNAH,Ballantine Books,14-03-1976,novela
library_book_82848_de565378,Angel Falls,0316735736,KRISTIN HANNAH,Crown,27-04-1949,novela
library_book_82405_ba870002,Angel of Hope (Mercy Trilogy),0743439740,Lurlene McDaniel,Starfire,08-04-1969,égloga
library_book_82734_693de8b8,Angela's Ashes: A Memoir,0345372700,Frank McCourt,Scribner,25-09-1982,égloga
library_book_83348_c26577e8,Angelas Ashes,0380619458,Frank Mccourt,Harpercollins Uk,18-10-1994,égloga
library_book_82326_7ebe31e1,Angels &amp,0446325805,Demons,Dan Brown,05-06-1949,cuento
library_book_82205_68d8362a,Angels &amp,0451406923,Demons,Dan Brown,03-02-1974,cuento
library_book_82378_7aca24b7,Angels &amp,0671042858,Insects : Two Novellas,A.S. BYATT,26-11-1972,égloga
library_book_82383_8c0d4105,Angels and Visitations: A Miscellany,0743249992,Neil Gaiman,Dreamhaven Books,08-07-1951,cuento
library_book_83183_cffc5283,Angle of Repose (Contemporary American Fiction),0840734530,Wallace Stegner,Penguin Books,17-08-1969,novela
library_book_82167_50c784b9,Anil's Ghost,0425184226,MICHAEL ONDAATJE,Knopf,09-02-1985,ensayo
library_book_82372_875634ee,Animal Farm,0375500766,George Orwell,Signet,26-05-1960,ensayo
library_book_83399_426a4b31,Anne Frank: The Diary of a Young Girl,9724119378,ANNE FRANK,Bantam,23-09-1960,novela
library_book_83144_376fd24f,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),0451205197,L.M. MONTGOMERY,Bantam Classics,17-10-1970,crónica
library_book_83635_dc7e8f13,Another Man's Wife,0060929790,Rebecca Winters,Harlequin,06-05-1945,crónica
library_book_82647_728b53a2,Antipodes 10,0060976845,John Pascal,Noble House,21-12-2002,carta
library_book_83649_db551ba3,Apocalipstick,0061099325,SUE MARGOLIS,Delta,19-09-1992,cuento
library_book_83355_0d833a7e,Are You Experienced?,0671004573,William Sutcliffe,Penguin Books Ltd,07-06-1970,ensayo
library_book_83533_46ecb611,Arnold: An Unauthorized Biography,0446601640,Wendy Leigh,McGraw-Hill,05-11-1993,crónica
library_book_83952_7ba47fd3,"Arthur (The Pendragon Cycle, Book 3)",0330484516,Stephen R. Lawhead,Good News Pub,25-03-1975,cuento
library_book_83661_3c47f631,As Nature Made Him : The Boy Who Was Raised as a Girl,1784565202,John Colapinto,Perennial,28-03-1978,carta
library_book_83808_15bdea71,As Nature Made Him: The Boy Who Was Raised As a Girl,0393020371,John Colapinto,HarperCollins Publishers,23-12-2001,novela
library_book_84025_45fa5dfa,As the Romans Do: An American Family's Italian Odyssey,1900850303,Alan Epstein,Perennial,15-08-1951,égloga
library_book_83374_46af1a49,"Ask for May, Settle for June (A Doonesbury book)",1903019699,G. B. Trudeau,Henry Holt &amp,11-09-1973,cuento
library_book_82481_3373b21c,Astral Travel for Beginners (For Beginners),0345425294,Richard Webster,Llewellyn Publications,26-04-2005,carta
library_book_83754_7fc2862e,Asylum,0451410319,Patrick McGrath,Random House Inc,09-02-2004,cuento
library_book_83571_68b72624,At Home in Mitford (The Mitford Years),0553583468,Jan Karon,Viking Books,27-08-1970,crónica
library_book_83861_57460638,Atlantis Found,8420639133,Clive Cussler,Berkley Publishing Group,05-06-1994,novela
library_book_82769_52a4f707,Atonement,8476409419,Ian McEwan,Nan A. Talese,06-01-1976,cuento
library_book_83909_b265715d,Atonement,0380778556,Ian McEwan,Random House,07-10-1984,novela
library_book_82226_43800fae,Atonement : A Novel,0451525221,IAN MCEWAN,Anchor,26-09-1951,ensayo
library_book_82996_08b133f2,Avalon: Web Of Magic #5: Spellsinger,0002740230,Rachel Roberts,Scholastic Paperbacks,11-12-1953,carta
library_book_83969_09b8408c,Avatar,0385336772,Donald Beman,Leisure Books,06-01-2003,ensayo
library_book_83042_97cc5c7c,Awakening,0440949424,Kate Chopin,Avon,25-12-1961,ensayo
library_book_83475_e7dae02b,Away from It All,0505524996,Judy Astley,Trafalgar Square,17-03-1950,carta
library_book_82896_2e9f1365,Awful End (Eddie Dickens Trilogy S.),0140252800,Philip Ardagh,Faber Children's Books,05-08-1979,carta
library_book_84045_44140dac,BORDERS OF INFINITY,0451452755,Lois McMaster Bujold,Baen,15-12-1951,crónica
library_book_83308_59220382,Baba: A Return to China upon My Father's Shoulders,0812575482,Belle Yang,Harcourt,24-11-1956,égloga
library_book_83882_8234a333,Baby B,0855616938,Michael Ryan,Graywolf Press,20-06-1991,ensayo
library_book_82410_c3e4ce10,Babyhood,0060801263,Paul Reiser,Avon,19-06-1982,ensayo
library_book_83772_61629062,Babyville,0061030147,JANE GREEN,Broadway,08-08-2001,novela
library_book_82653_d870f62e,Back Roads,0140250964,Tawni O'Dell,Signet Book,19-04-1969,novela
library_book_83797_8bd94b87,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),0446527165,ANNE TYLER,Ballantine Books,15-10-2002,carta
library_book_83647_b6062155,Bad Heir Day,0671461494,Wendy Holden,Plume Books,19-05-1990,cuento
library_book_83714_8da4be4a,"Balade au bout du monde, tome 4 : La pierre de folie",0385337639,Laurent Vicomte,GlÃƒ?Ã‚Â©nat,18-01-1946,égloga
library_book_83817_c4956657,Bar sport duemila (I narratori/Feltrinelli),1660258464,Stefano Benni,Feltrinelli,25-07-1952,carta
library_book_82619_aaf904ab,Barchester Towers (Oxford Pocket Classics),0451206673,Anthony Trollope,Random House Value Publishing,05-12-1949,carta
library_book_83663_c31d70d8,Basin and Range,0330332775,John McPhee,Noonday Press,23-12-2007,novela
library_book_83839_6f6c868a,Battle Cry,0486284735,Leon Uris,Bantam Books,19-01-1974,ensayo
library_book_82597_4510b575,Be Cool,0671021745,Elmore Leonard,Dell Publishing Company,12-08-1984,novela
library_book_83720_5b306513,Bears in the Night (Bright &amp,0671047612,Early Books),Stan Berenstain,04-10-2005,novela
library_book_82789_82892923,Becoming a Man : Half a Life Story,0671504282,Paul Monette,HarperSanFrancisco,27-07-1980,novela
library_book_84030_95ff9597,Beethoven's Hair : An Extraordinary Historical Odyssey and a Scientific Mystery Solved,0399138684,RUSSELL MARTIN,Broadway,15-11-1969,carta
library_book_82223_2c48aa49,Before I Say Good-Bye,0785263292,Mary Higgins Clark,Pocket,05-07-1988,crónica
library_book_83766_1fa20fff,Before I Say Good-Bye : A Novel,0830714014,Mary Higgins Clark,Simon &amp,13-08-1960,égloga
library_book_82441_6e3fa033,Bel Canto,0345354931,Ann Patchett,HarperCollins Publishers,01-11-1952,carta
library_book_83572_6a642dbb,Bel Canto: A Novel,0553278223,Ann Patchett,Perennial,16-04-2000,égloga
library_book_83953_143341ca,Belgrave Square,3150000335,Anne Perry,Fawcett Books,10-07-1989,cuento
library_book_83015_b4c0c438,"Belonging in the Two Berlins : Kin, State, Nation (Cambridge Studies in Social and Cultural Anthropology)",3257203659,John Borneman,Cambridge University Press,27-10-1969,novela
library_book_2022_54913785,Beloved (Plume Contemporary Fiction),3257207522,Toni Morrison,Plume,05-07-1985,cuento
library_book_83397_4cff4dd2,Beneath an Opal Moon,3257208626,Eric Van Lustbader,Berkley Publishing Group,16-09-1989,crónica
library_book_83748_ed6be2c0,Bertha Lum (American Printmakers),3257208634,Mary Evans O'Keefe Gravalos,Smithsonian Inst Pr,23-02-2004,novela
library_book_83332_b47bf3b0,"Between The Sheets (Harlequin Temptation, No 607)",3257208669,Mallory Rush,Harlequin,15-05-1993,carta
library_book_82629_5b5146f7,Biblioteca Universale Rizzoli: Sulla Sponda Del Fiume Piedra,3257210450,P Coelho,Fabbri - RCS Libri,05-06-1994,crónica
library_book_83989_b5d3aa9d,"Big Little Book of Irish Wit &amp; Wisdom: Six Volumes in One : Irish Blessings, Irish Toasts, Irish Proverbs, Irish Riddles, Irish Laws, Irish Wisdom",3257212054,Fergus Kelly,Black Dog &amp,18-03-1970,ensayo
library_book_83783_f8b8354a,Big Stone Gap: A Novel (Ballantine Reader's Circle),3257212429,Adriana Trigiani,Ballantine Books,05-01-1993,carta
library_book_82843_145cad76,Big Trouble,3257214154,Dave Barry,Berkley Publishing Group,16-06-1995,égloga
library_book_82979_936c83da,Billy Bathgate,3257216416,E. L. Doctorow,Random House,17-01-1959,ensayo
library_book_83606_15e057bb,Bird by Bird: Some Instructions on Writing and Life,3257233051,Anne Lamott,Anchor,15-11-1966,carta
library_book_83799_3feb7b16,Birds Bees And Babies 1994,3462018043,Nora Roberts,Silhouette,18-03-2000,égloga
library_book_83623_2a666a9d,"Bitter Blood: A True Story of Southern Family Pride, Madness, and Multiple Murder",3423116714,Jerry Bledsoe,Onyx Books,03-02-1986,cuento
library_book_82552_63b9d9fd,Black Beauty (Great Illustrated Classics (Playmore)),3423241489,Anna Sewell,Playmore Inc. Publishers,06-12-1993,ensayo
library_book_82166_23e0bf02,Black Beauty (Illustrated Classics),3426605686,Anna Sewell,Landoll,09-04-1970,crónica
library_book_82505_7f7d9605,Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,3453212150,John G. Neihardt,University of Nebraska Press,19-03-1958,carta
library_book_83948_87c79b43,Black Friday,3462021095,James Patterson,Warner Vision,05-06-1954,novela
library_book_83223_cbcfa2a4,Black Gold,3492045642,Marguerite Henry,Aladdin,23-02-1994,crónica
library_book_83118_03a7315b,Black Hawk Down: A Story of Modern War,3498020862,Mark Bowden,Atlantic Monthly Press,21-07-1985,novela
library_book_83334_28dc4e50,Black Knight,3499110695,Carole Halston,Silhouette,09-02-1951,ensayo
library_book_83801_7f680354,Black Notice,3499151502,Patricia Daniels Cornwell,Putnam Pub Group,07-02-2006,ensayo
library_book_83226_defb889e,Black Rainbow,3518111000,Barbara Michaels,Berkley Publishing Group,13-12-1990,novela
library_book_82569_0a10e44e,Black and Blue,3548254268,ANNA QUINDLEN,Dell,02-03-2001,novela
library_book_82447_dcb3b401,Blackberry Wine : A Novel,3570300099,Joanne Harris,Perennial,25-02-1977,ensayo
library_book_82858_bdc76af2,Blackbird: A Childhood Lost and Found,3596292646,Jennifer Lauck,Atria,23-11-1948,égloga
library_book_83681_1f5f0386,Blackmantle (Keltiad),0060977493,Patricia Kennealy-Morrison,Eos,11-09-1949,égloga
library_book_83851_d1813538,Blackwood Farm (The Vampire Chronicles),0312872682,Anne Rice,Alfred A. Knopf,05-04-1977,carta
library_book_82308_93cba969,Bleachers,0316602906,John Grisham,Doubleday,03-12-1989,égloga
library_book_82197_85f48e53,Bless The Beasts And Children : Bless The Beasts And Children,0316693006,Glendon Swarthout,Pocket,11-04-1995,égloga
library_book_83620_c6f7afc2,Bless the Child,0345311396,Cathy Cash Spellman,Pocket,08-07-1963,cuento
library_book_82687_69e3e0c7,Blink,0345378490,Ted Dekker,WestBow Press,15-05-1945,cuento
library_book_82199_7afa5009,Blood Oath,0345404793,David Morrell,St. Martin's Press,14-12-1961,carta
library_book_84074_483881a6,Blood Test,0345433173,Jonathan Kellerman,Signet Book,13-07-1989,crónica
library_book_82751_782ea0cb,Bloodlines (Dog Lover's Mysteries),0375400117,Susan Conant,Bantam Books,11-08-1947,ensayo
library_book_83074_e43038de,"Blowtorch Psycho.Com (Bone Chillers, No 18)",0375705856,Sherry Shahan,Harpercollins Juvenile Books,08-07-1968,égloga
library_book_82860_7ba9e484,Blue Heaven (Contemporary American Fiction S.),0380717018,Joe Keenan,Penguin Books,07-02-1979,ensayo
library_book_83579_3ea08de8,Blue Moon,0380718332,Luanne Rice,Bantam Books,03-01-1995,cuento
library_book_82530_95585685,Blur (Melody Maker),0380754509,Paul Lester,Hal Leonard Corp,18-01-2005,égloga
library_book_83924_2da180ae,Body Double,1568655371,Don Lassiter,Zebra Books,19-06-1992,cuento
library_book_82299_796fca18,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),0380807866,Patricia D. Cornwell,Avon,03-09-1966,crónica
library_book_84081_874cde21,Body of Lies,0385316895,IRIS JOHANSEN,Bantam,11-07-1966,crónica
library_book_83920_5c6e865b,Book of African Names,0385497466,Osuntoki,Black Classic Press,25-11-1949,crónica
library_book_83063_9bd2f7b9,Border Bride,0385508042,Arnette Lamb,Pocket,27-07-1990,novela
library_book_82367_4e6a4212,Born Confused,0385509456,Tanuja Desai Hidier,Push,27-09-2002,novela
library_book_83562_e944eb41,Braveheart,0385511612,Randall Wallace,Pocket,12-12-1995,ensayo
library_book_82661_1c2d4188,Brazen Virtue,0385730586,Nora Roberts,Bantam Books,25-08-1989,égloga
library_book_83339_2ef33355,Breakfast at Tiffany's: And Three Stories (First Vintage International),0425164403,Truman Capote,Vintage Books USA,02-09-1966,cuento
library_book_83664_f1db7abc,Breakfast of Champions,0440234964,Kurt Vonnegut,Dell Publishing Company,28-01-1952,cuento
library_book_83179_fd575a09,Breaking Clean,0446605484,JUDY BLUNT,Knopf,21-03-1964,novela
library_book_83507_95279ecf,"Breath, Eyes, Memory",0446610399,Edwidge Danticat,Vintage Books USA,01-12-1987,crónica
library_book_2070_6078639d,Breathing Lessons,0449006522,Anne Tyler,Berkley Publishing Group,08-11-2006,ensayo
